"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"sgAKT2_7","AKT2_LS",-1.02169177236258,2.27304769465665,12.9738438916211,0.000315872846239158,0.00474477552948687
"sgMCM6_9","MCM6_LS",-2.7448295499845,-2.58530832964777,12.9737950479225,0.000315881086777443,0.00474477552948687
"ELP3_CCDS6065.1_ex9_8:27995229-27995252:-_5-4","ELP3",-1.26874355237068,2.36362254983794,12.9724800134924,0.000316103030908974,0.00474740009781425
"TMEM41B_CCDS31424.1_ex6_11:9335855-9335878:+_7-7","TMEM41B",-0.773691259190356,3.16047494009327,12.9704088105886,0.00031645291580912,0.00475194507641744
"sgPRPF4_10","PRPF4_LS",-1.46076065454862,2.42536038411265,12.9675132566133,0.000316942711630922,0.00475858932533636
"PARS2_CCDS597.1_ex0_1:55224617-55224640:+_5-5","PARS2",-0.769832732238561,2.9472392475206,12.9646100048575,0.000317434577013403,0.00476526265812491
"sgCAMK4_10","CAMK4_LS",-0.841338694602351,3.00165317860005,12.9632233034987,0.000317669781806987,0.00476808163769379
"VARS2_CCDS34387.1_ex12_6:30888105-30888128:-_5-5","VARS2",-1.13662016071425,2.77940839206127,12.959545706181,0.000318294407335924,0.00477623191000517
"SLC39A10_CCDS33353.1_ex1_2:196548506-196548529:-_5-4","SLC39A10",-1.97912695374829,1.46664138814145,12.9594669898857,0.000318307790519495,0.00477623191000517
"PLK1_CCDS10616.1_ex1_16:23691493-23691516:-_5-4","PLK1",-4.05984538881096,1.02654854249951,12.9541545386299,0.00031921231516965,0.00478908968636126
"PAICS_CCDS47060.1_ex4_4:57314725-57314748:-_5-4","PAICS",-0.899553514783707,2.55567526530486,12.9523547082626,0.000319519350748607,0.00479298093367473
"UFD1L_CCDS13761.1_ex9_22:19462581-19462604:+_5-4","UFD1L",-1.3212720321821,2.5604306189477,12.9485692923341,0.000320166082262443,0.0048019659017611
"sgBIRC5_8","BIRC5_LS",-3.52687515306635,-0.143352552368771,12.9453500113691,0.00032071712913014,0.00480951329111207
"HIST2H2AC_CCDS937.1_ex0_1:149858614-149858637:+_4-1","HIST2H2AC",-0.897187895528209,3.13646812543191,12.9443077556815,0.0003208957377077,0.00481147413223555
"GTF2B_CCDS715.1_ex4_1:89329654-89329677:+_5-4","GTF2B",-1.73406722740078,1.35185974091896,12.9382686689764,0.000321932615898577,0.00482630126673416
"sgFBXO5_7","FBXO5_LS",-1.39931660600786,1.41941744965056,12.9375847961109,0.000322050245873181,0.00482734498692642
"sgACTG2_10","ACTG2_LS",-1.44588839526315,2.01745003550605,12.9367600720187,0.000322192160698791,0.00482875235744562
"NUFIP1_CCDS9393.1_ex9_13:45563289-45563312:+_5-3","NUFIP1",-0.921257838003577,2.70398167852748,12.9326335969859,0.000322903173664973,0.00483868721443209
"sgINTS5_1","INTS5_LS",-1.14418273173143,2.31521660282297,12.9321070237808,0.000322994018706035,0.00483932731141009
"SLC22A23_CCDS34331.1_ex5_6:3298423-3298446:+_5-3","SLC22A23",-1.47778711817274,2.98650686758102,12.9313360902406,0.000323127067572903,0.00484059945133908
"sgMED14_1","MED14_LS",-0.784537718702452,2.85284006595506,12.9286318925979,0.00032359419911337,0.00484687518645169
"sgGTF3C4_2","GTF3C4_LS",-1.92961700488509,1.46395184782816,12.9244408046997,0.000324319526606057,0.00485701579992739
"GTF2H3_CCDS61275.1_ex6_12:124140335-124140358:+_5-3","GTF2H3",-1.22227520241275,2.79298791011132,12.915447059944,0.000325881560885353,0.00487968206484904
"GIMAP6_CCDS34778.1_ex1_7:150327144-150327167:-_6-6","GIMAP6",-0.753175127319853,3.42218879115696,12.9088362520195,0.000327034562088248,0.00489621771641025
"RHEB_CCDS5927.1_ex5_7:151181862-151181885:-_5-4","RHEB",-1.68235030677946,1.29844275653759,12.9083504869984,0.000327119447177794,0.00489675946021736
